pagina,link_viejo,destino_nuevo,texto
"/best-hotels-jerusalem","/jerusalem-neighborhoods-guide","/jerusalem","Jerusalem neighbourhoods guide"
"/best-hotels-jerusalem","/ein-kerem-jerusalem-guide","/jerusalem","Ein Kerem"
"/best-hotels-jerusalem","/new-luxury-hotels-israel-2026","(sin link)","new luxury hotels in Israel 2026 guide"
"/best-hotels-jerusalem","/jerusalem-neighborhoods-guide","/jerusalem","Jerusalem neighbourhoods guide"
"/best-hotels-jerusalem","/jerusalem-old-city-walking-tour","/jerusalem-tours-compared","Jerusalem Old City walking tour guide"
"/best-hotels-jerusalem","/church-holy-sepulchre-guide","(sin link)","Church of the Holy Sepulchre guide"
"/best-hotels-jerusalem","/jerusalem-food-guide","/jerusalem","Mahane Yehuda market guide"
"/best-hotels-jerusalem","/israel-accommodation-guide","(sin link)","Israel accommodation guide"
"/best-hotels-jerusalem","/transportation","(sin link)","transportation guide"
"/best-hotels-jerusalem","/tel-aviv-to-jerusalem","/jerusalem","Tel Aviv to Jerusalem guide"
"/best-hotels-tel-aviv","/tel-aviv-neighborhoods-guide","/tel-aviv","Tel Aviv neighborhoods guide"
"/best-hotels-tel-aviv","/new-luxury-hotels-israel-2026","/best-hotels-jerusalem","new luxury hotels in Israel 2026 guide"
"/best-hotels-tel-aviv","/jaffa-hotels-guide","(sin link)","Jaffa hotels guide"
"/best-hotels-tel-aviv","/tel-aviv-neighborhoods-guide","/tel-aviv","Tel Aviv neighborhoods guide"
"/best-hotels-tel-aviv","/tel-aviv-food-guide","/tel-aviv","Tel Aviv food guide"
"/best-hotels-tel-aviv","/tel-aviv-white-city","/tel-aviv","Tel Aviv White City guide"
"/best-hotels-tel-aviv","/israel-accommodation-guide","/best-hotels-jerusalem","Israel accommodation guide"
"/best-hotels-tel-aviv","/tel-aviv-light-rail","/tel-aviv","Tel Aviv light rail guide"
"/best-time-to-visit-israel","/easter-in-jerusalem","/jerusalem","Easter in Jerusalem pilgrim guide"
"/best-time-to-visit-israel","/israel-ramadan-guide","(sin link)","Ramadan in Israel guide"
"/best-time-to-visit-israel","/israel-in-spring","(sin link)","Israel in spring"
"/best-time-to-visit-israel","/israel-in-summer","(sin link)","beat-the-heat summer guide"
"/best-time-to-visit-israel","/sukkot-in-israel","(sin link)","Sukkot"
"/best-time-to-visit-israel","/israel-in-autumn","(sin link)","Israel in autumn guide"
"/best-time-to-visit-israel","/nazareth","/galilee","Nazareth"
"/best-time-to-visit-israel","/christmas-in-israel","(sin link)","Christmas in Israel guide"
"/best-time-to-visit-israel","/mount-hermon-skiing","/galilee","Mount Hermon"
"/best-time-to-visit-israel","/israel-in-winter","(sin link)","Israel in winter"
"/best-time-to-visit-israel","/israel-rainy-day-activities","(sin link)","rainy day activities guide"
